n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa,lote
41,1.0,0.0,20261011,0.4756410256410256,0.6487179487179487,0.01,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.509090909090909,0.5,0.01,0.5,0,0.7317073170731707,extra
41,1.0,0.0,20261011,0.46551724137931033,0.7097701149425287,0.01,0.0,9,0.7073170731707317,extra
41,1.0,0.0,20261011,0.4487179487179488,0.7410256410256411,1.0,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.48406862745098045,0.7941176470588235,1.0,0.0,9,0.4146341463414634,extra
41,1.0,0.0,20261011,0.5120772946859903,0.7053140096618358,0.1,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.3516483516483516,0.717032967032967,0.1,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.4876373626373627,0.7664835164835165,1.0,0.5,7,0.6829268292682927,extra
41,1.0,0.0,20261011,0.4782608695652174,0.5,0.01,0.5,0,0.5609756097560976,extra
41,1.0,0.0,20261011,0.46497584541062803,0.7391304347826088,1.0,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.4576719576719577,0.7222222222222223,0.1,0.5,1,0.6585365853658537,extra
41,1.0,0.0,20261011,0.38809523809523816,0.5,0.01,0.5,0,0.4878048780487805,extra
41,1.0,0.0,20261011,0.39473684210526316,0.7033492822966507,0.01,0.0,9,0.4634146341463415,extra
41,1.0,0.0,20261011,0.3908045977011494,0.807471264367816,1.0,0.0,9,0.7073170731707317,extra
41,1.0,0.0,20261011,0.6032258064516131,0.7225806451612903,0.01,0.0,9,0.7560975609756098,extra
41,1.0,0.0,20261011,0.4285714285714285,0.5,0.01,0.5,0,0.6829268292682927,extra
41,1.0,0.0,20261011,0.4595588235294118,0.8186274509803921,1.0,0.0,9,0.5853658536585366,extra
41,1.0,0.0,20261011,0.5917874396135265,0.7379227053140096,0.1,0.5,2,0.5609756097560976,extra
41,1.0,0.0,20261011,0.696078431372549,0.7647058823529411,0.01,0.0,9,0.5853658536585366,extra
41,1.0,0.0,20261011,0.5441176470588235,0.6617647058823529,0.01,0.0,9,0.5853658536585366,extra
41,1.0,0.0,20261011,0.5,0.5,0.01,0.5,0,0.7317073170731707,extra
41,1.0,0.0,20261011,0.4807692307692308,0.8516483516483516,1.0,1.0,5,0.6829268292682927,extra
41,1.0,0.0,20261011,0.6231884057971014,0.8236714975845411,1.0,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.6291866028708134,0.8086124401913876,0.1,0.0,9,0.5365853658536586,extra
41,1.0,0.0,20261011,0.2959770114942529,0.7183908045977011,1.0,1.0,4,0.7073170731707317,extra
41,1.0,0.0,20261011,0.5025,0.5,0.01,0.5,0,0.6097560975609756,extra
41,1.0,0.0,20261011,0.49047619047619045,0.7261904761904762,0.1,0.0,9,0.5121951219512195,extra
41,1.0,0.0,20261011,0.667948717948718,0.8128205128205128,1.0,1.0,2,0.6341463414634146,extra
41,1.0,0.0,20261011,0.4923076923076923,0.5,0.01,0.5,0,0.6341463414634146,extra
41,1.0,0.0,20261011,0.6512820512820513,0.8307692307692307,0.1,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.3862433862433863,0.8148148148148148,1.0,0.0,9,0.6585365853658537,extra
41,1.0,0.0,20261011,0.5700483091787439,0.818840579710145,1.0,1.0,5,0.43902439024390244,extra
41,1.0,0.0,20261011,0.5948717948717949,0.764102564102564,0.1,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.48387096774193544,0.5,0.01,0.5,0,0.7560975609756098,extra
41,1.0,0.0,20261011,0.4925,0.6625,0.01,0.0,9,0.6097560975609756,extra
41,1.0,0.0,20261011,0.5919117647058824,0.7156862745098038,0.01,0.0,9,0.5853658536585366,extra
41,1.0,0.0,20261011,0.3516483516483516,0.5,0.01,0.5,0,0.6829268292682927,extra
41,1.0,0.0,20261011,0.5393939393939394,0.7666666666666666,1.0,1.0,4,0.7317073170731707,extra
41,1.0,0.0,20261011,0.39749999999999996,0.7275,0.1,0.0,9,0.6097560975609756,extra
41,1.0,0.0,20261011,0.4522058823529412,0.5,0.01,0.5,0,0.5853658536585366,extra
41,1.0,0.0,20261011,0.49615384615384617,0.6282051282051282,0.01,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.49874999999999997,0.8125,1.0,0.0,9,0.6097560975609756,extra
41,1.0,0.0,20261011,0.5239234449760766,0.5980861244019139,0.01,0.0,9,0.4634146341463415,extra
41,1.0,0.0,20261011,0.5217391304347826,0.8164251207729469,1.0,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.5575757575757576,0.8212121212121212,1.0,0.5,8,0.7317073170731707,extra
41,1.0,0.0,20261011,0.4064102564102564,0.6666666666666667,0.01,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.6014492753623188,0.8719806763285024,1.0,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.5386473429951691,0.5,0.01,0.5,0,0.5609756097560976,extra
41,1.0,0.0,20261011,0.46551724137931033,0.5,0.01,0.5,0,0.7073170731707317,extra
41,1.0,0.0,20261011,0.39550264550264547,0.5,0.01,0.5,0,0.6585365853658537,extra
41,1.0,0.0,20261011,0.6913875598086124,0.8325358851674641,1.0,1.0,4,0.5365853658536586,extra
41,1.0,0.0,20261011,0.4056372549019608,0.5,0.01,0.5,0,0.5853658536585366,extra
41,1.0,0.0,20261011,0.4181818181818182,0.7,0.01,0.0,9,0.7317073170731707,extra
41,1.0,0.0,20261011,0.4986772486772487,0.5,0.01,0.5,0,0.6585365853658537,extra
41,1.0,0.0,20261011,0.6878787878787879,0.9242424242424242,1.0,0.0,9,0.7317073170731707,extra
41,1.0,0.0,20261011,0.41346153846153844,0.5,0.01,0.5,0,0.6829268292682927,extra
41,1.0,0.0,20261011,0.6976190476190476,0.8071428571428572,0.1,0.0,9,0.5121951219512195,extra
41,1.0,0.0,20261011,0.4301470588235293,0.5,0.01,0.5,0,0.5853658536585366,extra
41,1.0,0.0,20261011,0.5604395604395604,0.7967032967032968,1.0,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.44125,0.5,0.01,0.5,0,0.6097560975609756,extra
41,1.0,0.0,20261011,0.39625,0.7825,1.0,0.0,9,0.6097560975609756,extra
41,1.0,0.0,20261011,0.56125,0.845,0.1,0.0,9,0.6097560975609756,extra
41,1.0,0.0,20261011,0.4371980676328503,0.7294685990338163,0.01,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.4375,0.8325,1.0,1.0,7,0.6097560975609756,extra
41,1.0,0.0,20261011,0.44312169312169314,0.7222222222222222,0.01,0.0,9,0.6585365853658537,extra
41,1.0,0.0,20261011,0.4056372549019608,0.7058823529411765,0.01,0.0,9,0.5853658536585366,extra
41,1.0,0.0,20261011,0.37875000000000003,0.5,0.01,0.5,0,0.6097560975609756,extra
41,1.0,0.0,20261011,0.4779411764705882,0.5,0.01,0.5,0,0.5853658536585366,extra
41,1.0,0.0,20261011,0.4298941798941799,0.5978835978835979,0.01,0.0,9,0.6585365853658537,extra
