n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa,variante
41,-1.0,0.0,-1,0.5705128205128205,0.5,0.01,0.5,0,0.6341463414634146,copula
41,-1.0,0.0,-1,0.41954022988505746,0.5,0.01,0.5,0,0.7073170731707317,copula
41,-1.0,0.0,-1,0.6296296296296297,0.798941798941799,0.1,0.5,4,0.6585365853658537,copula
41,-1.0,0.0,-1,0.7225806451612902,0.9064516129032258,1.0,1.0,7,0.7560975609756098,copula
41,-1.0,0.0,-1,0.4756410256410256,0.6512820512820512,1.0,1.0,3,0.6341463414634146,copula
41,-1.0,0.0,-1,0.5,0.8186813186813187,1.0,0.0,9,0.6829268292682927,copula
41,-1.0,0.0,-1,0.39487179487179486,0.5,0.01,0.5,0,0.6341463414634146,copula
41,-1.0,0.0,-1,0.4497549019607844,0.5,0.01,0.5,0,0.5853658536585366,copula
41,-1.0,0.0,-1,0.6150793650793651,0.8809523809523809,1.0,1.0,6,0.6585365853658537,copula
41,-1.0,0.0,-1,0.47916666666666663,0.5,0.01,0.5,0,0.5853658536585366,copula
41,-1.0,0.0,-1,0.723076923076923,0.8948717948717948,1.0,0.0,9,0.6341463414634146,copula
41,-1.0,0.0,-1,0.4243589743589744,0.635897435897436,0.01,0.0,9,0.6341463414634146,copula
41,-1.0,0.0,-1,0.4351851851851851,0.5,0.01,0.5,0,0.6585365853658537,copula
41,-1.0,0.0,-1,0.48039215686274506,0.6740196078431373,0.01,0.0,9,0.5853658536585366,copula
41,-1.0,0.0,-1,0.4232804232804233,0.5,0.01,0.5,0,0.6585365853658537,copula
41,-1.0,0.0,-1,0.28735632183908044,0.7614942528735632,0.1,0.0,9,0.7073170731707317,copula
41,-1.0,0.0,-1,0.4641025641025641,0.717948717948718,0.01,0.0,9,0.6341463414634146,copula
41,-1.0,0.0,-1,0.3103448275862069,0.7729885057471264,1.0,0.0,9,0.7073170731707317,copula
41,-1.0,0.0,-1,0.4761904761904762,0.5,0.01,0.5,0,0.4878048780487805,copula
41,-1.0,0.0,-1,0.5869565217391304,0.8067632850241546,0.1,0.0,9,0.5609756097560976,copula
41,-1.0,0.0,-1,0.4354066985645933,0.7559808612440191,1.0,1.0,5,0.5365853658536586,copula
41,-1.0,0.0,-1,0.44848484848484843,0.5,0.01,0.5,0,0.7317073170731707,copula
41,-1.0,0.0,-1,0.5579710144927537,0.821256038647343,1.0,0.0,9,0.5609756097560976,copula
41,-1.0,0.0,-1,0.5238095238095238,0.6452380952380953,0.01,0.0,9,0.5121951219512195,copula
41,-1.0,0.0,-1,0.5555555555555556,0.8298611111111112,1.0,1.0,5,0.7804878048780488,copula
41,-1.0,0.0,-1,0.37774725274725274,0.5,0.01,0.5,0,0.6829268292682927,copula
41,-1.0,0.0,-1,0.696969696969697,0.7272727272727273,0.01,0.0,9,0.7317073170731707,copula
