n,tau,d,M,p95_nulo,potencia,wilson_inf,wilson_sup,auc_mediana,auc_q25,auc_q75,resub_gap_medio
120,0.5,0.0,500,0.6093052291421857,0.05,0.03409350665098192,0.07276865002683111,0.4920250573262621,0.46040644394017016,0.537466085290744,0.11131501791657843
120,0.5,0.2,500,0.6093052291421857,0.088,0.06620563711739778,0.11607704855206659,0.5005848024150454,0.46363205389811424,0.562869779278048,0.10635331347856951
120,0.5,0.35,500,0.6093052291421857,0.254,0.2178196276777558,0.2939316846394487,0.5503816197325325,0.49208744530676113,0.6100551406231766,0.09370521398401564
120,0.5,0.5,500,0.6093052291421857,0.43,0.38730087857833456,0.4737665680159919,0.5989498546511627,0.5420455585184267,0.638685895499849,0.08229956931302052
120,0.5,0.8,500,0.6093052291421857,0.868,0.8355045607103054,0.8948837200509497,0.677214412434362,0.6367590904821558,0.7132157229831518,0.057249520565250095
120,0.9,0.0,500,0.6067966016388803,0.05,0.03409350665098192,0.07276865002683111,0.487248055562009,0.4563902667100341,0.5250732036714045,0.11164762463039869
120,0.9,0.2,500,0.6067966016388803,0.114,0.08903649378821105,0.14484971171764635,0.5,0.464546416392644,0.5634047799745474,0.10743300740161092
120,0.9,0.35,500,0.6067966016388803,0.274,0.2367399762569261,0.31470635131904223,0.5546501196172249,0.4900565551346801,0.6108675927480276,0.09543803941898288
120,0.9,0.5,500,0.6067966016388803,0.486,0.4424642011735621,0.5297492881453032,0.6039322316734598,0.5477068865740741,0.6434383394383394,0.07723685476603034
120,0.9,0.8,500,0.6067966016388803,0.92,0.8928931229079627,0.9407021975260784,0.6834513885997417,0.6505124632358915,0.717188023713759,0.054268474110884424
120,1.0,0.0,500,0.6063445763719411,0.05,0.03409350665098192,0.07276865002683111,0.49065196818685186,0.4598725163782708,0.5350358254608821,0.10646708197814639
120,1.0,0.2,500,0.6063445763719411,0.102,0.07843397139617729,0.1316352249544218,0.5041263032990975,0.46666951386900235,0.5587439510976798,0.10867546849636327
120,1.0,0.35,500,0.6063445763719411,0.264,0.22726719286500013,0.3043316270815863,0.5652553834033613,0.5039238923807412,0.6081071191673602,0.09273614970597739
120,1.0,0.5,500,0.6063445763719411,0.482,0.43850579699662956,0.5257686892704829,0.6022433545986178,0.5490039946266969,0.6428903126915141,0.0798508443594597
120,1.0,0.8,500,0.6063445763719411,0.904,0.8750124461326017,0.9268268620944284,0.6891129426129425,0.6512954840805718,0.7236533089499506,0.05332249026851186
160,0.5,0.0,500,0.5944319377617386,0.05,0.03409350665098192,0.07276865002683111,0.4898864523454687,0.45585766630214447,0.5273683155983362,0.0989474915691965
160,0.5,0.2,500,0.5944319377617386,0.116,0.09081324505614743,0.14704246197558635,0.5032720797720798,0.4727304660678067,0.5607740241529303,0.09230222437248693
160,0.5,0.35,500,0.5944319377617386,0.296,0.2576647234385832,0.33744612092202536,0.5603960619452975,0.5035622390142773,0.6018718438345166,0.08148539062585174
160,0.5,0.5,500,0.5944319377617386,0.536,0.4921784303653343,0.5792725971004405,0.5995523218243506,0.5509145802787996,0.632662955465587,0.06865512995053438
160,0.5,0.8,500,0.5944319377617386,0.95,0.9272313499731688,0.965906493349018,0.6836426402544824,0.6483376288659795,0.7150321666381507,0.04429991883147872
160,0.9,0.0,500,0.5974724050592327,0.05,0.03409350665098192,0.07276865002683111,0.49181119774705195,0.46041986033043775,0.5298316284946439,0.09110510862766606
160,0.9,0.2,500,0.5974724050592327,0.122,0.0961588543796491,0.15360535722971383,0.512329212952687,0.47310398531171544,0.5648766101712985,0.08897261266407559
160,0.9,0.35,500,0.5974724050592327,0.284,0.24623711212056168,0.32505672308478845,0.566569410082632,0.5130726116932971,0.6050077323718996,0.07802247802601527
160,0.9,0.5,500,0.5974724050592327,0.582,0.5383018478283397,0.6244477147325922,0.6066142037540302,0.5637483801126655,0.6459952750966376,0.06448268176234916
160,0.9,0.8,500,0.5974724050592327,0.95,0.9272313499731688,0.965906493349018,0.6851666666666667,0.6513442280878896,0.7188089925625423,0.04513384360826777
160,1.0,0.0,500,0.5942462841896734,0.05,0.03409350665098192,0.07276865002683111,0.4834347729440251,0.4547116763739723,0.5236379531275077,0.0914187369251493
160,1.0,0.2,500,0.5942462841896734,0.128,0.10152638796079462,0.1601463282261975,0.5103181361963564,0.47311957172806224,0.5606293314199853,0.09018588501024045
160,1.0,0.35,500,0.5942462841896734,0.28,0.24243538732541,0.32091944482818746,0.5601163951201451,0.5030554428668018,0.5980462739133536,0.07856692813723197
160,1.0,0.5,500,0.5942462841896734,0.618,0.5746644739023564,0.6595361161243504,0.6086313414559748,0.5737340044651366,0.6438359986496632,0.06206174699658814
160,1.0,0.8,500,0.5942462841896734,0.966,0.9462281949738114,0.9786656605553865,0.6931435091277891,0.6560233092382468,0.7197187061318007,0.042158860398403816
200,0.5,0.0,500,0.5910205295887261,0.05,0.03409350665098192,0.07276865002683111,0.49333943419764315,0.4666072788605191,0.52886691708282,0.08374760030236464
200,0.5,0.2,500,0.5910205295887261,0.12,0.09437448030757052,0.15142022977591602,0.5215968420519059,0.4848370763026307,0.5693148810399479,0.0799731189386743
200,0.5,0.35,500,0.5910205295887261,0.32,0.2806170567195024,0.3621278059516228,0.5690279227168412,0.5170809745809746,0.5979360683760684,0.0707932324140969
200,0.5,0.5,500,0.5910205295887261,0.654,0.6112721337613813,0.6943794837311004,0.6085398464054821,0.5772543144038651,0.6392820820591224,0.054874344861556575
200,0.5,0.8,500,0.5910205295887261,0.98,0.9635794314459021,0.9891009347644306,0.6875130886240804,0.6492445596833254,0.7151981657386177,0.0371643481594361
200,0.9,0.0,500,0.5838740486714091,0.05,0.03409350665098192,0.07276865002683111,0.4877995471479264,0.45994698029452163,0.5253742121848739,0.08429556752702859
200,0.9,0.2,500,0.5838740486714091,0.136,0.10871499179718816,0.1688357304933095,0.5092753806157184,0.47173808383474847,0.5581823958333333,0.08491533699357123
200,0.9,0.35,500,0.5838740486714091,0.408,0.3657816336552564,0.4516212961544298,0.5670456820821785,0.5259766922565882,0.6064285963081941,0.06607201011640808
200,0.9,0.5,500,0.5838740486714091,0.684,0.641977078070737,0.7232170623098906,0.6082165911450368,0.5730961849125912,0.6377918060523691,0.056061805035254965
200,0.9,0.8,500,0.5838740486714091,0.99,0.976806564621235,0.9957213092184797,0.6920643645540987,0.6608198635057472,0.7190730766098413,0.03523254211175932
200,1.0,0.0,500,0.581251553324724,0.05,0.03409350665098192,0.07276865002683111,0.4859996913985502,0.4572144583357818,0.5135937993213384,0.08573587522568978
200,1.0,0.2,500,0.581251553324724,0.178,0.14696436225520904,0.2139458920786927,0.5177704046822071,0.47810545151824413,0.5654600850739758,0.08241891760755857
