variante,n,d,M,p95_nulo,potencia,wilson_inf,wilson_sup,auc_mediana
probit,80,0.8,500,0.6342493819400796,0.672,0.6296726201980068,0.7117045110273624,0.6683569979716024
probit,120,0.0,500,0.6050448311237372,0.05,0.03409350665098192,0.07276865002683111,0.48462488129154796
probit,120,0.35,500,0.6050448311237372,0.226,0.1915091878404532,0.2646691031144819,0.5482266919464986
probit,120,0.8,500,0.6050448311237372,0.882,0.8507673840349824,0.9074074074074073,0.6822245607775324
probit,200,0.0,500,0.5785341524395903,0.05,0.03409350665098192,0.07276865002683111,0.49117958599465006
probit,200,0.35,500,0.5785341524395903,0.45,0.4069388734465702,0.4938235884065202,0.5735619979635961
probit,200,0.8,500,0.5785341524395903,0.982,0.9661479527879661,0.9905019149482431,0.6895474215006079
probit,300,0.0,500,0.5736636240882654,0.05,0.03409350665098192,0.07276865002683111,0.49397732880194856
probit,300,0.35,500,0.5736636240882654,0.524,0.4802074191766619,0.5674265991338547,0.5762790103945202
probit,300,0.8,500,0.5736636240882654,0.998,0.9887590072528046,0.9996468726904154,0.6963993322825954
probit,500,0.0,500,0.5545201143245213,0.05,0.03409350665098192,0.07276865002683111,0.49581601033146777
probit,500,0.35,500,0.5545201143245213,0.798,0.7605963875890438,0.8308593397665378,0.5812888907346723
probit,500,0.8,500,0.5545201143245213,1.0,0.9923753814690964,0.9999999999999999,0.6982969914959756
tasa50,41,0.0,500,0.6675773809523808,0.05,0.03409350665098192,0.07276865002683111,0.4872300369423132
tasa50,41,0.35,500,0.6675773809523808,0.114,0.08903649378821105,0.14484971171764635,0.49940191387559807
tasa50,41,0.8,500,0.6675773809523808,0.414,0.37164184827781455,0.4576695861095008,0.6430263735755727
tasa50,80,0.0,500,0.6255119508286429,0.05,0.03409350665098192,0.07276865002683111,0.48248051394470837
tasa50,80,0.35,500,0.6255119508286429,0.168,0.13778772464256234,0.20327502206195752,0.5322076297686054
tasa50,80,0.8,500,0.6255119508286429,0.724,0.6832216523131053,0.76136251858505,0.6698568128089405
tasa50,120,0.0,500,0.5894807370515028,0.05,0.03409350665098192,0.07276865002683111,0.4855735236985237
tasa50,120,0.35,500,0.5894807370515028,0.346,0.3056205162688996,0.3887278662386186,0.5597571218227992
tasa50,120,0.8,500,0.5894807370515028,0.94,0.9156384216937552,0.9576519139990498,0.677787098453152
tasa50,200,0.0,500,0.5802403405754109,0.05,0.03409350665098192,0.07276865002683111,0.49192381310247135
tasa50,200,0.35,500,0.5802403405754109,0.404,0.3618784697205358,0.44758545703739777,0.5664548843959564
tasa50,200,0.8,500,0.5802403405754109,0.994,0.9825094361891064,0.9979574407023611,0.6866432714735791
tasa50,300,0.0,500,0.5595770025661496,0.05,0.03409350665098192,0.07276865002683111,0.4931877294121735
tasa50,300,0.35,500,0.5595770025661496,0.618,0.5746644739023564,0.6595361161243504,0.5734576410619541
tasa50,300,0.8,500,0.5595770025661496,1.0,0.9923753814690964,0.9999999999999999,0.6966521836788189
tasa50,500,0.0,500,0.5480767327202953,0.05,0.03409350665098192,0.07276865002683111,0.49244753250293727
tasa50,500,0.35,500,0.5480767327202953,0.826,0.790317702710052,0.856711046007799,0.5807496532366645
tasa50,500,0.8,500,0.5480767327202953,1.0,0.9923753814690964,0.9999999999999999,0.6910439392856873
