n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa
41,1.0,0.0,20260811,0.317948717948718,0.7948717948717949,1.0,0.5,6,0.6341463414634146
41,1.0,0.0,20260811,0.3923611111111111,0.7881944444444444,0.1,0.0,9,0.7804878048780488
41,1.0,0.0,20260811,0.5787878787878789,0.8242424242424242,0.1,0.5,3,0.7317073170731707
41,1.0,0.0,20260811,0.2671568627450981,0.7450980392156863,0.01,0.0,9,0.5853658536585366
41,1.0,0.0,20260811,0.1587301587301587,0.746031746031746,1.0,1.0,5,0.6585365853658537
41,1.0,0.0,20260811,0.48626373626373626,0.8489010989010989,1.0,0.0,9,0.6829268292682927
41,1.0,0.0,20260811,0.3214285714285714,0.5,0.01,0.5,0,0.5121951219512195
41,1.0,0.0,20260811,0.3871794871794872,0.7384615384615385,1.0,0.0,9,0.6341463414634146
41,1.0,0.0,20260811,0.4656084656084656,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260811,0.5196078431372549,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260811,0.47126436781609193,0.7385057471264368,1.0,1.0,5,0.7073170731707317
41,1.0,0.0,20260811,0.3333333333333333,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260811,0.27941176470588236,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260811,0.49754901960784315,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260811,0.4575,0.78,0.01,0.0,9,0.6097560975609756
41,1.0,0.0,20260811,0.3230769230769231,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260811,0.225,0.5,0.01,0.5,0,0.6097560975609756
41,1.0,0.0,20260811,0.29945054945054944,0.6648351648351648,0.01,0.0,9,0.6829268292682927
41,1.0,0.0,20260811,0.19696969696969696,0.6454545454545455,0.01,0.0,9,0.7317073170731707
41,1.0,0.0,20260811,0.5238095238095237,0.8214285714285714,1.0,0.0,9,0.5121951219512195
41,1.0,0.0,20260811,0.565,0.765,0.1,0.5,1,0.6097560975609756
41,1.0,0.0,20260811,0.5219780219780219,0.7692307692307693,0.01,0.0,9,0.6829268292682927
41,1.0,0.0,20260811,0.3862433862433863,0.7169312169312169,0.1,0.0,9,0.6585365853658537
41,1.0,0.0,20260811,0.45897435897435895,0.7564102564102564,0.1,0.0,9,0.6341463414634146
41,1.0,0.0,20260811,0.5769230769230769,0.8681318681318682,1.0,1.0,6,0.6829268292682927
41,1.0,0.0,20260811,0.2846153846153846,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260811,0.1948717948717949,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260811,0.3214285714285714,0.6208791208791209,0.01,0.0,9,0.6829268292682927
41,1.0,0.0,20260811,0.5325,0.5,0.01,0.5,0,0.6097560975609756
41,1.0,0.0,20260811,0.4867724867724868,0.8174603174603174,1.0,0.0,9,0.6585365853658537
41,1.0,0.0,20260811,0.40499999999999997,0.69,0.01,0.0,9,0.6097560975609756
41,1.0,0.0,20260811,0.22705314009661837,0.6594202898550725,0.01,0.0,9,0.5609756097560976
41,1.0,0.0,20260811,0.5923076923076923,0.7525641025641027,0.1,0.5,1,0.6341463414634146
41,1.0,0.0,20260811,0.34558823529411764,0.6200980392156863,0.01,0.0,9,0.5853658536585366
41,1.0,0.0,20260811,0.3791208791208791,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260811,0.3049450549450549,0.7252747252747253,0.1,0.0,9,0.6829268292682927
41,1.0,0.0,20260811,0.34285714285714286,0.6404761904761904,0.01,0.0,9,0.5121951219512195
41,1.0,0.0,20260811,0.5132275132275133,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260811,0.17224880382775115,0.5,0.01,0.5,0,0.4634146341463415
41,1.0,0.0,20260811,0.4576719576719577,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260811,0.5870967741935484,0.7967741935483871,0.1,0.5,3,0.7560975609756098
41,1.0,0.0,20260811,0.29904306220095694,0.6770334928229664,0.1,0.0,9,0.5365853658536586
41,1.0,0.0,20260811,0.489010989010989,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260811,0.5363636363636364,0.8393939393939394,1.0,0.0,9,0.7317073170731707
41,1.0,0.0,20260811,0.35978835978835977,0.8095238095238095,1.0,0.0,9,0.6585365853658537
41,1.0,0.0,20260811,0.4470899470899471,0.8095238095238094,1.0,0.0,9,0.6585365853658537
41,1.0,0.0,20260811,0.37362637362637363,0.7115384615384616,1.0,1.0,5,0.6829268292682927
41,1.0,0.0,20260811,0.49725274725274726,0.8021978021978022,1.0,1.0,5,0.6829268292682927
41,1.0,0.0,20260811,0.47527472527472525,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260811,0.5363636363636364,0.7333333333333333,0.01,0.0,9,0.7317073170731707
41,1.0,0.0,20260811,0.16028708133971295,0.5,0.01,0.5,0,0.5365853658536586
