n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa
41,1.0,0.0,20260711,0.39354838709677425,0.5,0.01,0.5,0,0.7560975609756098
41,1.0,0.0,20260711,0.5868055555555555,0.8472222222222222,1.0,0.0,9,0.7804878048780488
41,1.0,0.0,20260711,0.607843137254902,0.6850490196078431,0.1,0.5,1,0.5853658536585366
41,1.0,0.0,20260711,0.5285714285714286,0.6880952380952381,0.01,0.0,9,0.5121951219512195
41,1.0,0.0,20260711,0.5525641025641026,0.6794871794871795,0.01,0.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.6692307692307693,0.8435897435897437,0.1,0.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.47916666666666674,0.7965686274509804,1.0,1.0,6,0.5853658536585366
41,1.0,0.0,20260711,0.4537037037037037,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260711,0.5906862745098039,0.6691176470588236,0.01,0.0,9,0.5853658536585366
41,1.0,0.0,20260711,0.5595238095238095,0.7250000000000001,0.1,0.5,1,0.5121951219512195
41,1.0,0.0,20260711,0.4342105263157895,0.7416267942583732,1.0,0.0,9,0.5365853658536586
41,1.0,0.0,20260711,0.717948717948718,0.8794871794871795,1.0,0.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.6348039215686274,0.7254901960784313,0.1,0.5,2,0.5853658536585366
41,1.0,0.0,20260711,0.5547619047619048,0.8142857142857143,1.0,1.0,5,0.4878048780487805
41,1.0,0.0,20260711,0.4947089947089947,0.7248677248677249,0.1,0.5,1,0.6585365853658537
41,1.0,0.0,20260711,0.47126436781609193,0.646551724137931,0.01,0.0,9,0.7073170731707317
41,1.0,0.0,20260711,0.6932367149758454,0.7693236714975845,0.1,0.5,1,0.5609756097560976
41,1.0,0.0,20260711,0.48484848484848486,0.5,0.01,0.5,0,0.7317073170731707
41,1.0,0.0,20260711,0.5066137566137566,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260711,0.43576388888888895,0.5,0.01,0.5,0,0.7804878048780488
41,1.0,0.0,20260711,0.5119047619047619,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260711,0.4399509803921568,0.8259803921568627,1.0,0.0,9,0.5853658536585366
41,1.0,0.0,20260711,0.5818181818181818,0.7242424242424242,0.01,0.0,9,0.7317073170731707
41,1.0,0.0,20260711,0.35628019323671495,0.5,0.01,0.5,0,0.5609756097560976
41,1.0,0.0,20260711,0.4642857142857143,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260711,0.42460317460317454,0.6666666666666666,0.01,0.0,9,0.6585365853658537
41,1.0,0.0,20260711,0.3584656084656085,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260711,0.40384615384615385,0.6384615384615384,0.01,0.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.5476190476190477,0.835978835978836,0.1,0.0,9,0.6585365853658537
